('night', 0.11607262473708871), ('life', 0.09391955896290312), ('highway', 0.07699471297671778), ('way', 0.053591945482083986), ('road', 0.049236597261571396), ('lights', 0.037335919889730666), ('rough', 0.028609884339854015), ('survivors', 0.028529316332976288), ('load', 0.02558633811445164), ('blood', 0.02499879019877853)
('gimme gimme gimme', 0.12360126460305186), ('man', 0.11902147016069548), ('midnight', 0.10822345628954234), ('day', 0.0490637719217127), ('break', 0.04749179462623469), ('one', 0.046302540197327643), ('darkness', 0.0447215504747166), ('shadows', 0.04233135531869636), ('prays', 0.039530456287292626), ('soul', 0.03432676693904617)
('things', 0.09833965828606028), ('girl', 0.03829093051194831), ('jay', 0.024724283707957012), ('love', 0.022555303074861678), ('time', 0.021185756687835434), ('first time', 0.014769290597238579), ('door bell', 0.014627416627553937), ('wife', 0.014494753415192572), ('night', 0.014226687500743365), ('crib', 0.014151389111494977)
('ooh', 0.19023705989797968), ('sea', 0.18873141973207277), ('today', 0.11518330365487052), ('spaced', 0.10817075793326172), ('world', 0.07297803336335801), ('heads', 0.06478379086202993), ('underpain', 0.062072994421867964), ('light way', 0.059858161861611636), ('days', 0.04488471727339484), ('radar', 0.0436818349471013)
('love', 0.0864053764857878), ('night', 0.07973026395209101), ('thorn', 0.07442555951404926), ('sad', 0.06659106102995617), ('easy come', 0.051830734722233485), ('chorus', 0.051231644455947994), ('rose', 0.04649699390273095), ('scar', 0.04535160624399633), ('much pain', 0.04207045380849129), ('knife', 0.04154486495217686)
('baby', 0.16245255801420255), ('boys', 0.12291751212405663), ('girls', 0.1222039136141286), ('baby baby', 0.027139113833591397), ('back', 0.024902731639987387), ('sex appeal', 0.019931797502036813), ('stranger', 0.01926049857336476), ('face', 0.01860495135671307), ('chamomile', 0.01826148731181171), ('crazy', 0.01815669938116326)
('black velvet', 0.12592265767184518), ('boy', 0.06316117070385852), ('smile', 0.054463902155395955), ('slow southern style', 0.047789999786363), ('knees', 0.0437463042249473), ('new religion', 0.042210693240849716), ('mama', 0.037762218349286315), ('baby', 0.03356025540780093), ('more', 0.02320470813544497), ('high', 0.021148155247758402)
('night', 0.09566902822480794), ('soul', 0.0713939147068334), ('easy', 0.06372919000175739), ('room', 0.061314798119144566), ('time', 0.06101660758687847), ('voices', 0.04745303315676893), ('angels', 0.04540219912563583), ('fire', 0.038791159572314285), ('heavens', 0.035912557951537), ('hands', 0.03531105293515512)
('devil inside', 0.15324512509219113), ('single', 0.07143249409720831), ('eye', 0.06609090959083781), ('look', 0.06145069001803194), ('other half die', 0.048438104098019255), ('weapons', 0.04326947409189699), ('words', 0.04324763649898229), ('sharper', 0.04168981734786764), ('mind', 0.04065507068299669), ('hell', 0.03832316813178952)
('elevation', 0.13280058515262344), ('high', 0.08661086722171103), ('soul', 0.07364045513528351), ('excavation', 0.05062510369178969), ('sky', 0.048188184015225066), ('control', 0.04444037700869141), ('mole', 0.03783529471228223), ('hole', 0.037101018380428195), ('hips', 0.03187104200358614), ('eclipse', 0.030344438344606126)
('sexual healin', 0.1205824486306498), ('baby', 0.10827113703460699), ('good', 0.08806601111695034), ('feelin', 0.051746704265848605), ('mind', 0.04293279518627333), ('fine', 0.03822396073996251), ('ohh', 0.028893828853597286), ('darlin', 0.02756199498385136), ('honey', 0.02607259130572806), ('sea', 0.019168653424681156)
('time', 0.1898826404574833), ('mind', 0.1496094962299337), ('money', 0.12490260362727829), ('plenty', 0.08402167985219548), ('whole lot', 0.08285631393604308), ('child', 0.0748614588700656), ('whole lotta spending money', 0.07150651257869285), ('patience', 0.06967992169584424), ('real', 0.04919173080297415), ('feelings', 0.047556074461516815)
('music', 0.11359231325939373), ('sound', 0.11118873603205459), ('small speakers', 0.1054332632394186), ('needle', 0.04976482942063529), ('power', 0.04936489235625348), ('plastic', 0.0452514884627215), ('ecstatic', 0.039155942495660144), ('girl', 0.03623638639309944), ('love', 0.027678070438056014), ('cassette', 0.023363424289423715)
('love', 0.1498578548424556), ('way', 0.14440131483872184), ('sayin', 0.11125592679127108), ('blue', 0.10245814566219197), ('eyes', 0.10223838248145448), ('heart', 0.04487532645051685), ('size', 0.04332180574849105), ('tears', 0.03763841273527819), ('fears', 0.03705221044296898), ('manipulations', 0.03600325322810116)
('mad world', 0.1217965021440469), ('hard', 0.072886743812219), ('people', 0.04610433864863047), ('circles', 0.045082994382349834), ('cuz', 0.042964717518359494), ('sad', 0.04276393287874096), ('dreams', 0.04212878466154744), ('funny', 0.03849406320636029), ('happy birthday', 0.038408865852648355), ('best', 0.03636508092579391)
('strong', 0.1732723829830119), ('today', 0.08394964732537377), ('love', 0.06836432045136351), ('frozen ground', 0.054303931038798534), ('taste', 0.05295474108266908), ('something', 0.05219777825132066), ('jealousy', 0.05076375113765062), ('lust', 0.04857518668886074), ('cold', 0.04835436881371992), ('sleep', 0.048144612257149166)
('bright', 0.07144630902093067), ('dead', 0.06719983270025959), ('restless future', 0.05502207822711395), ('past', 0.04939229544290463), ('love', 0.042728971012977825), ('last', 0.04193785907513942), ('whistle', 0.04185282464224634), ('tight', 0.04167969770097241), ('lover', 0.04158877517128708), ('heart', 0.0404917718464642)
('chick chicka chicka', 0.37992948632897816), ('bow bow', 0.37378515350260494), ('beautiful', 0.06752867355943698), ('bow', 0.048900858541675224), ('aaaaaaaaaaah', 0.036709941121477574), ('sun', 0.03366807428007454), ('moon', 0.03303027749637), ('wilson phillips', 0.026447535169382176)
('day', 0.14592511336665281), ('way', 0.10768710484220834), ('baby', 0.0812409186226383), ('things', 0.06726607003019572), ('pain', 0.05828139914384184), ('chains', 0.05548010211173432), ('mind', 0.0511702558809151), ('lettin', 0.040252586088012784), ('worries', 0.04011868003294233), ('one', 0.03636184719610558)
('walk', 0.0966860198323949), ('life', 0.08314142760081833), ('johnny', 0.07327416058825625), ('song', 0.05573366771151668), ('day', 0.03862059597424382), ('night time', 0.03711024090105157), ('dedication devotion', 0.034836686186442894), ('boy', 0.03481613142260162), ('action', 0.03442860040253283), ('motion', 0.034302988151939245)
('bad', 0.22889299996934828), ('bone', 0.17706647747128723), ('baby', 0.06359856035498963), ('yours', 0.057003205397224796), ('rich woman beg', 0.05184461896912777), ('honey', 0.04289340466717469), ('solo', 0.0392032046435932), ('nurses', 0.033983609296870186), ('kings', 0.027387383100082985), ('queens', 0.025013819276581195)
('arms wide open', 0.24871995671145267), ('arms', 0.23431332498078597), ('sunlight', 0.05957698778999284), ('place', 0.05258464093096801), ('life', 0.052221461333490024), ('joy', 0.030402056894493143), ('tears', 0.02895557792652085), ('face', 0.028581194911536607), ('world', 0.02525880480213278), ('awe', 0.025079234248844236)
('young man', 0.2241700631136925), ('fun', 0.10756053805328965), ('need', 0.04278233189348614), ('good time', 0.036146130998196996), ('boys', 0.033595924721280826), ('young men', 0.03138362886530955), ('pride', 0.03135298273037271), ('place', 0.030213927275741147), ('shelf', 0.029361349679147802), ('ground', 0.028542612797746208)
('more', 0.07461384720240927), ('baby', 0.057504318012619), ('best', 0.05386737935211301), ('places', 0.05267033238424827), ('high places', 0.047812712660810955), ('nature', 0.045322330914125575), ('bone', 0.04494849995172903), ('train', 0.04312350338481245), ('flesh', 0.042404689608324275), ('bad', 0.04183736262750702)
('opposites', 0.11546501478718725), ('steps', 0.09144258962181911), ('baby', 0.0675289968991245), ('things serious', 0.05159154014471579), ('natural fact', 0.0510686318750365), ('fiction', 0.048966176144232675), ('common', 0.04281304171407133), ('wrong', 0.026807348295248123), ('bed', 0.025540967143684302), ('paula abdul', 0.01878650675732808)
('bangkok', 0.06456474815748349), ('night', 0.058017228796119966), ('god', 0.030218260551176223), ('chess world', 0.02717312880021486), ('temples', 0.02690552297287791), ('bars', 0.02657860863107743), ('tough guys', 0.023139850501153508), ('city', 0.02147536099496591), ('oyster', 0.019711822310190304), ('ecstasy', 0.019679096020996142)
('whoa', 0.24058445935885803), ('side', 0.10564124925227969), ('thorn', 0.10268434720012912), ('better', 0.09961267866152675), ('bad time', 0.07989194597133407), ('bone', 0.07747365411490749), ('lies', 0.06063854337644331), ('bundle', 0.0601380002504987), ('low', 0.056174884419422574), ('complicated', 0.04842043095342359)
('place', 0.08324326067257169), ('sad face', 0.0815358432244067), ('dance floor', 0.05890443769553322), ('weight', 0.0564882249196803), ('gold', 0.049871657541087515), ('worth', 0.04936481511650151), ('cold', 0.04833353768876717), ('hands', 0.04495945484696167), ('lonely girl', 0.0439238784543024), ('pickup joint', 0.041691586563344284)
('words', 0.0782005017175845), ('baby', 0.07262185721138753), ('old dog', 0.04567331216179172), ('heavens', 0.0441919998988201), ('til', 0.043213632020318325), ('day', 0.03895009474320765), ('stars', 0.03167981466571803), ('hair', 0.02472891100939844), ('end', 0.02464757146447219), ('time', 0.02461053203346483)
('whatta man', 0.2020079232862547), ('mighty good man', 0.09929031661231132), ('time', 0.03347133804959008), ('smooth', 0.023271977219450433), ('real good rep', 0.020551875363348987), ('right spot', 0.018973970155673724), ('baby', 0.012885809033302978), ('lot', 0.012772282884667516), ('fake wannabe tryin', 0.012136166784663898), ('bass', 0.010597104766239188)
('candy', 0.23745237246423959), ('life', 0.09930794863358659), ('candy baby', 0.08315097793164719), ('crazy', 0.0611837183812655), ('love', 0.043037864489774466), ('beautiful', 0.04299652243287119), ('games', 0.03975613771369297), ('heart', 0.0372951879020896), ('free', 0.027823379577572124), ('fine', 0.027201035048977)
('baby', 0.09655835315571426), ('deja vu', 0.08769042001256125), ('substitute', 0.06713335509759212), ('sexiness', 0.030319555052397498), ('girls', 0.02801014853476557), ('control', 0.0270993617133155), ('appealing', 0.02695825198028748), ('hat', 0.02185228702555559), ('bass', 0.020697360560282575), ('help', 0.019922419795152687)
('hearts', 0.21631256169388258), ('mind', 0.1978799650357544), ('end', 0.1439704834191651), ('time', 0.14323061820747737), ('much', 0.056555110788447854), ('cos', 0.04113083108574554), ('life', 0.03988745352764808), ('easy way', 0.0367051925617303), ('special place', 0.036537118521661326), ('lifehouse', 0.033030606600001136)
('moment', 0.20329295328599445), ('truth', 0.09598567118523285), ('closer', 0.08770949177060233), ('desperate', 0.08472020069642085), ('love', 0.07913432580632716), ('only thing', 0.06883857235434744), ('kenny rogers', 0.06822390225817762), ('sure', 0.06527982207493489), ('dolly parton', 0.0638434338941627), ('mind', 0.048082337109848175)
('tender love', 0.10846920167760743), ('other', 0.07784228192596529), ('islands', 0.07199626589330983), ('stream', 0.07088048728270208), ('one', 0.0592469635722411), ('wrong', 0.0463249236612776), ('world', 0.04586479806036016), ('lover', 0.04334161895092805), ('real thing', 0.04177594701242064), ('baby', 0.030492411862354064)
('words', 0.05708188630239389), ('dreadlock holiday', 0.0552089620881406), ('reggae', 0.037733747851444656), ('cricket', 0.03681908049359062), ('dark voice', 0.03676517060043742), ('swimming pool', 0.03670633531936824), ('jamaica', 0.03344719217954063), ('mad', 0.03048717387234634), ('faces', 0.029173755763932704), ('sinkin', 0.028574975467431867)
('forgotten years', 0.21946021704529164), ('hardest years', 0.08217669339287177), ('desperate', 0.047885778152990006), ('roarin', 0.04315036789208766), ('old signatures', 0.03415320963801761), ('tears', 0.0322932989795082), ('son', 0.031399730717346176), ('feeling', 0.02958998119616597), ('strong', 0.029546806220363337), ('politics', 0.029338301010680044)
('chance', 0.052346010682147594), ('male epitome', 0.03581845940121316), ('insane', 0.03395494576357324), ('longing', 0.03390135860181876), ('many females', 0.03340637204497702), ('look', 0.032232539584954804), ('hook', 0.03106845272424674), ('line', 0.029709699208265355), ('aura', 0.028942637584037513), ('style', 0.028758296009317983)
('broken glass', 0.2305922730268692), ('sun', 0.06581263606174395), ('empty room', 0.05841249782643286), ('windows', 0.05782857764501529), ('big blue sky', 0.055708176613298264), ('wind', 0.05485723539363407), ('rain', 0.05272868177613137), ('sweetest thing', 0.05198745407641655), ('pieces', 0.04822287140567883), ('left', 0.0480404860377935)
('ben', 0.296676364118658), ('friend', 0.25775393968820864), ('most people', 0.06716877170813736), ('own', 0.0666384820839171), ('alone', 0.0649614837380697), ('diesel', 0.06022821345957466), ('sure', 0.05077568549784951), ('more', 0.0477962432487731), ('place', 0.04425125637783225), ('word', 0.04374956007897954)
('tongue', 0.2592772124529332), ('tip', 0.2505021859660536), ('words', 0.06782631635447837), ('heart', 0.04672920420872105), ('time', 0.04358026562433544), ('good intentions', 0.03750211594998866), ('usa', 0.02780902537287449), ('better', 0.027010112616089224), ('tonight', 0.02631720637747261), ('night', 0.026172090749342156)
('day', 0.06784342056823053), ('michael jackson', 0.0429215952663389), ('own lives', 0.04256226410812152), ('world', 0.04129890296593898), ('diana ross', 0.03914842254019775), ('kenny rogers', 0.03211997577999985), ('children', 0.03077395474456238), ('ones', 0.0287792398783255), ('god', 0.027993938260798854), ('willie nelson', 0.027655833426679065)
('trouble tonight', 0.1113087489210455), ('feelin', 0.07986505802784596), ('blue', 0.07697354879477696), ('guess', 0.07520399643250086), ('point', 0.07385854792083024), ('view', 0.07007314221203373), ('face', 0.06473186898254239), ('distance', 0.06401687150107632), ('bar tonight', 0.06372548445189086), ('long', 0.05775660324541646)
('rat', 0.14667396133822785), ('rage', 0.13504059127168508), ('cage', 0.13097164905220707), ('only', 0.06175238536892462), ('cold', 0.04727611239384486), ('jesus', 0.04615877970105806), ('old job', 0.043846983985483055), ('cool', 0.04137914464458517), ('other', 0.03179391100781982), ('butterfly wings', 0.025965585221339613)
('night', 0.25933154774488043), ('dance', 0.10476508750575235), ('low', 0.05191954471933749), ('beat', 0.048080331194744017), ('hot', 0.04708222297467239), ('right', 0.045325119155318526), ('move', 0.04063789101499395), ('work', 0.03989226798881666), ('quirky jerk', 0.037570182808228485), ('left feet', 0.035733727786725074)
('urgent', 0.22080231710136358), ('emergency', 0.09904948282135059), ('emer', 0.04338251991508826), ('love', 0.04141059099420874), ('got fire', 0.03752535094498427), ('wanna', 0.03612251258890482), ('other guy', 0.026748690982647854), ('burnin', 0.02612099544159003), ('veins', 0.02496115887580767), ('hot', 0.023287612578879197)
('love', 0.20489712169896257), ('wanna', 0.12463836469457219), ('fame', 0.044821116638538334), ('money', 0.04343200276147528), ('notorious', 0.04325403879823751), ('stress', 0.04186011675831818), ('matter', 0.04167198116708764), ('happiness', 0.04114724825793706), ('lucky', 0.03956156239218996), ('rich', 0.039516005584410034)
('lord', 0.15466022918952724), ('mountains', 0.13006061661395507), ('eagles', 0.07649171089262788), ('way', 0.0663516419963981), ('world few hearts', 0.0657777581026229), ('day', 0.06311346560973385), ('long', 0.05972294301647388), ('road', 0.05885821416145752), ('step', 0.05812978272462182), ('clear winds', 0.0580583719415425)
('tomorrow', 0.2063123115818498), ('save tonight', 0.159848276244037), ('dawn', 0.13167014026125232), ('break', 0.1264055472854169), ('bye', 0.029072029105569934), ('wine', 0.029003537191424733), ('good', 0.027956260493436802), ('lord', 0.026928149958870606), ('girl', 0.02625744271021032), ('darlin', 0.025467480929368853)
('eyes', 0.10194357415701459), ('similar features', 0.09395424232820215), ('longer hair', 0.08629956974287735), ('night', 0.052469932098965555), ('scent', 0.038329095331245414), ('mind', 0.037474884985874854), ('midnight state', 0.03646351465799287), ('passion', 0.03326301716711866), ('curiosity', 0.03285912875837829), ('bitter', 0.031396107364721496)
('big time sensuality', 0.1669032506336201), ('gentle', 0.1605383346733181), ('hardcore', 0.1417061560292096), ('courage', 0.11054250700993695), ('intimate', 0.06548509289118878), ('bit', 0.06308629587446882), ('future', 0.056312278070673905), ('weekend', 0.05461406856974135), ('huge', 0.0495248475978856), ('about', 0.04513685471795964)
('words', 0.32637953182795093), ('more', 0.30194548268656696), ('love', 0.057800193679064804), ('real', 0.056564424046560424), ('things new', 0.050800206743197976), ('heart', 0.047532123919379846), ('icehouse', 0.037768592865823514), ('hands', 0.03378480548740454), ('close', 0.03269605549155414), ('eyes', 0.03140312900734578)
('little girl', 0.2843900311721572), ('sense', 0.10186789058155823), ('way', 0.10053472404250233), ('wrong', 0.09241697921038694), ('surprise', 0.09117286916814221), ('talk', 0.07525417902404276), ('town', 0.07500841117576916), ('better', 0.05794118887321875), ('time', 0.04467588157866363), ('new', 0.04463258925933057)
('empty house', 0.1079853620327248), ('good days', 0.10074491528332857), ('best', 0.08904563216098957), ('tears', 0.08520906481807615), ('easy', 0.07796248543002358), ('memories', 0.07700756405077411), ('time', 0.07593951965671754), ('eyes', 0.07134376314533449), ('silence', 0.06933296616588003), ('carefree laughter', 0.06529929487464732)
('more', 0.10728230384694344), ('enough', 0.0783933340505401), ('fair', 0.07440481276471196), ('share', 0.07233085550123325), ('corner shop', 0.06795834269300134), ('counter', 0.05161632950426205), ('little people', 0.04891842948302099), ('dream', 0.03731823045634964), ('alone', 0.03468594665617451), ('cold', 0.03344184349385674)
('lonely', 0.23779962362406146), ('long time', 0.2360344992965012), ('love', 0.07087474794607099), ('arms', 0.0631365675924688), ('mmm baby', 0.05875305849621522), ('makin', 0.039477992501676065), ('vows', 0.03576969351001141), ('moonlight', 0.0356564113497193), ('book', 0.033446725581072104), ('life', 0.031715810835650185)
('life', 0.11281487272143934), ('view', 0.10289111815654273), ('sane', 0.1012591236681237), ('point', 0.10059403140089795), ('rain', 0.09092821944386706), ('plain', 0.08547876031912291), ('great escape', 0.06367998087675007), ('puddles', 0.05198286788729747), ('awake', 0.049875979034210975), ('insane', 0.049806685746863234)
('champagne supernova', 0.11406576670374292), ('high', 0.11258031183601368), ('landslide', 0.09435159914503079), ('sky', 0.08498191360369775), ('many special people', 0.07256776619718923), ('someday', 0.06582828420040779), ('many lives', 0.05323244833406324), ('strange', 0.05105842127275387), ('hall', 0.05037286496059294), ('cannon ball', 0.049225083945165046)
('lovely eyes', 0.17827820969549), ('baby', 0.1399915011303697), ('time', 0.11157780697963002), ('money', 0.09504116648285023), ('one', 0.07599099647454219), ('life', 0.07032551121349641), ('things', 0.06898926155056033), ('man', 0.06280041488194794), ('glad', 0.05790356142190299), ('look', 0.05622524021043307)
('leaky boat', 0.10014045127098367), ('months', 0.08143449036237255), ('world', 0.05523551965831815), ('rugged individual', 0.0320874090847486), ('glisten', 0.029994568071566766), ('lightning flash', 0.029317769711221776), ('tyranny', 0.0283127987289642), ('aotearoa', 0.027845652252867975), ('spirit', 0.027618427929704665), ('pearl', 0.027399220359046007)
('sunny days', 0.10448032589459376), ('lights', 0.08568159651286779), ('end', 0.07999576611987018), ('lightning', 0.07841990718280634), ('tunnel', 0.07489140021558904), ('sun', 0.06894715304628868), ('eyes', 0.06042204953814191), ('strangest feeling', 0.059931076988316484), ('alright', 0.054576260461571234), ('tonight', 0.05074716419606541)
